"Security","Symbol","NameOfStock"
"3M","MMM","3M,MMM"
"A. O. Smith","AOS","A. O. Smith,AOS"
"Abbott","ABT","Abbott,ABT"
"AbbVie","ABBV","AbbVie,ABBV"
"Accenture","ACN","Accenture,ACN"
"Activision Blizzard","ATVI","Activision Blizzard,ATVI"
"ADM","ADM","ADM,ADM"
"Adobe Inc.","ADBE","Adobe Inc.,ADBE"
"ADP","ADP","ADP,ADP"
"Advance Auto Parts","AAP","Advance Auto Parts,AAP"
"AES Corporation","AES","AES Corporation,AES"
"Aflac","AFL","Aflac,AFL"
"Agilent Technologies","A","Agilent Technologies,A"
"Air Products and Chemicals","APD","Air Products and Chemicals,APD"
"Akamai","AKAM","Akamai,AKAM"
"Alaska Air Group","ALK","Alaska Air Group,ALK"
"Albemarle Corporation","ALB","Albemarle Corporation,ALB"
"Alexandria Real Estate Equities","ARE","Alexandria Real Estate Equities,ARE"
"Align Technology","ALGN","Align Technology,ALGN"
"Allegion","ALLE","Allegion,ALLE"
"Alliant Energy","LNT","Alliant Energy,LNT"
"Allstate","ALL","Allstate,ALL"
"Alphabet Inc. (Class A)","GOOGL","Alphabet Inc. (Class A),GOOGL"
"Alphabet Inc. (Class C)","GOOG","Alphabet Inc. (Class C),GOOG"
"Altria","MO","Altria,MO"
"Amazon","AMZN","Amazon,AMZN"
"Amcor","AMCR","Amcor,AMCR"
"AMD","AMD","AMD,AMD"
"Ameren","AEE","Ameren,AEE"
"American Airlines Group","AAL","American Airlines Group,AAL"
"American Electric Power","AEP","American Electric Power,AEP"
"American Express","AXP","American Express,AXP"
"American International Group","AIG","American International Group,AIG"
"American Tower","AMT","American Tower,AMT"
"American Water Works","AWK","American Water Works,AWK"
"Ameriprise Financial","AMP","Ameriprise Financial,AMP"
"AmerisourceBergen","ABC","AmerisourceBergen,ABC"
"Ametek","AME","Ametek,AME"
"Amgen","AMGN","Amgen,AMGN"
"Amphenol","APH","Amphenol,APH"
"Analog Devices","ADI","Analog Devices,ADI"
"Ansys","ANSS","Ansys,ANSS"
"Aon","AON","Aon,AON"
"APA Corporation","APA","APA Corporation,APA"
"Apple Inc.","AAPL","Apple Inc.,AAPL"
"Applied Materials","AMAT","Applied Materials,AMAT"
"Aptiv","APTV","Aptiv,APTV"
"Arch Capital Group","ACGL","Arch Capital Group,ACGL"
"Arista Networks","ANET","Arista Networks,ANET"
"Arthur J. Gallagher & Co.","AJG","Arthur J. Gallagher & Co.,AJG"
"Assurant","AIZ","Assurant,AIZ"
"AT&T","T","AT&T,T"
"Atmos Energy","ATO","Atmos Energy,ATO"
"Autodesk","ADSK","Autodesk,ADSK"
"AutoZone","AZO","AutoZone,AZO"
"AvalonBay Communities","AVB","AvalonBay Communities,AVB"
"Avery Dennison","AVY","Avery Dennison,AVY"
"Baker Hughes","BKR","Baker Hughes,BKR"
"Ball Corporation","BALL","Ball Corporation,BALL"
"Bank of America","BAC","Bank of America,BAC"
"Bath & Body Works, Inc.","BBWI","Bath & Body Works, Inc.,BBWI"
"Baxter International","BAX","Baxter International,BAX"
"Becton Dickinson","BDX","Becton Dickinson,BDX"
"Berkley","WRB","Berkley,WRB"
"Berkshire Hathaway","BRK.B","Berkshire Hathaway,BRK.B"
"Best Buy","BBY","Best Buy,BBY"
"Bio-Rad","BIO","Bio-Rad,BIO"
"Bio-Techne","TECH","Bio-Techne,TECH"
"Biogen","BIIB","Biogen,BIIB"
"BlackRock","BLK","BlackRock,BLK"
"BNY Mellon","BK","BNY Mellon,BK"
"Boeing","BA","Boeing,BA"
"Booking Holdings","BKNG","Booking Holdings,BKNG"
"BorgWarner","BWA","BorgWarner,BWA"
"Boston Properties","BXP","Boston Properties,BXP"
"Boston Scientific","BSX","Boston Scientific,BSX"
"Bristol Myers Squibb","BMY","Bristol Myers Squibb,BMY"
"Broadcom Inc.","AVGO","Broadcom Inc.,AVGO"
"Broadridge Financial Solutions","BR","Broadridge Financial Solutions,BR"
"Brown & Brown","BRO","Brown & Brown,BRO"
"Brown–Forman","BF.B","Brown–Forman,BF.B"
"C.H. Robinson","CHRW","C.H. Robinson,CHRW"
"Cadence Design Systems","CDNS","Cadence Design Systems,CDNS"
"Caesars Entertainment","CZR","Caesars Entertainment,CZR"
"Camden Property Trust","CPT","Camden Property Trust,CPT"
"Campbell Soup Company","CPB","Campbell Soup Company,CPB"
"Capital One","COF","Capital One,COF"
"Cardinal Health","CAH","Cardinal Health,CAH"
"CarMax","KMX","CarMax,KMX"
"Carnival","CCL","Carnival,CCL"
"Carrier Global","CARR","Carrier Global,CARR"
"Catalent","CTLT","Catalent,CTLT"
"Caterpillar Inc.","CAT","Caterpillar Inc.,CAT"
"Cboe Global Markets","CBOE","Cboe Global Markets,CBOE"
"CBRE Group","CBRE","CBRE Group,CBRE"
"CDW","CDW","CDW,CDW"
"Celanese","CE","Celanese,CE"
"Centene Corporation","CNC","Centene Corporation,CNC"
"CenterPoint Energy","CNP","CenterPoint Energy,CNP"
"Ceridian","CDAY","Ceridian,CDAY"
"CF Industries","CF","CF Industries,CF"
"Charles River Laboratories","CRL","Charles River Laboratories,CRL"
"Charles Schwab Corporation","SCHW","Charles Schwab Corporation,SCHW"
"Charter Communications","CHTR","Charter Communications,CHTR"
"Chevron Corporation","CVX","Chevron Corporation,CVX"
"Chipotle Mexican Grill","CMG","Chipotle Mexican Grill,CMG"
"Chubb Limited","CB","Chubb Limited,CB"
"Church & Dwight","CHD","Church & Dwight,CHD"
"Cigna","CI","Cigna,CI"
"Cincinnati Financial","CINF","Cincinnati Financial,CINF"
"Cintas","CTAS","Cintas,CTAS"
"Cisco","CSCO","Cisco,CSCO"
"Citigroup","C","Citigroup,C"
"Citizens Financial Group","CFG","Citizens Financial Group,CFG"
"Clorox","CLX","Clorox,CLX"
"CME Group","CME","CME Group,CME"
"CMS Energy","CMS","CMS Energy,CMS"
"The Coca-Cola Company","KO","The Coca-Cola Company,KO"
"Cognizant","CTSH","Cognizant,CTSH"
"Colgate-Palmolive","CL","Colgate-Palmolive,CL"
"Comcast","CMCSA","Comcast,CMCSA"
"Comerica","CMA","Comerica,CMA"
"Conagra Brands","CAG","Conagra Brands,CAG"
"ConocoPhillips","COP","ConocoPhillips,COP"
"Consolidated Edison","ED","Consolidated Edison,ED"
"Constellation Brands","STZ","Constellation Brands,STZ"
"Constellation Energy","CEG","Constellation Energy,CEG"
"CooperCompanies","COO","CooperCompanies,COO"
"Copart","CPRT","Copart,CPRT"
"Corning Inc.","GLW","Corning Inc.,GLW"
"Corteva","CTVA","Corteva,CTVA"
"CoStar Group","CSGP","CoStar Group,CSGP"
"Costco","COST","Costco,COST"
"Coterra","CTRA","Coterra,CTRA"
"Crown Castle","CCI","Crown Castle,CCI"
"CSX","CSX","CSX,CSX"
"Cummins","CMI","Cummins,CMI"
"CVS Health","CVS","CVS Health,CVS"
"D.R. Horton","DHI","D.R. Horton,DHI"
"Danaher Corporation","DHR","Danaher Corporation,DHR"
"Darden Restaurants","DRI","Darden Restaurants,DRI"
"DaVita Inc.","DVA","DaVita Inc.,DVA"
"John Deere","DE","John Deere,DE"
"Delta Air Lines","DAL","Delta Air Lines,DAL"
"Dentsply Sirona","XRAY","Dentsply Sirona,XRAY"
"Devon Energy","DVN","Devon Energy,DVN"
"Dexcom","DXCM","Dexcom,DXCM"
"Diamondback Energy","FANG","Diamondback Energy,FANG"
"Digital Realty","DLR","Digital Realty,DLR"
"Discover Financial","DFS","Discover Financial,DFS"
"Dish Network","DISH","Dish Network,DISH"
"Disney","DIS","Disney,DIS"
"Dollar General","DG","Dollar General,DG"
"Dollar Tree","DLTR","Dollar Tree,DLTR"
"Dominion Energy","D","Dominion Energy,D"
"Domino's","DPZ","Domino's,DPZ"
"Dover Corporation","DOV","Dover Corporation,DOV"
"Dow Inc.","DOW","Dow Inc.,DOW"
"DTE Energy","DTE","DTE Energy,DTE"
"Duke Energy","DUK","Duke Energy,DUK"
"DuPont","DD","DuPont,DD"
"DXC Technology","DXC","DXC Technology,DXC"
"Eastman Chemical Company","EMN","Eastman Chemical Company,EMN"
"Eaton Corporation","ETN","Eaton Corporation,ETN"
"eBay","EBAY","eBay,EBAY"
"Ecolab","ECL","Ecolab,ECL"
"Edison International","EIX","Edison International,EIX"
"Edwards Lifesciences","EW","Edwards Lifesciences,EW"
"Electronic Arts","EA","Electronic Arts,EA"
"Elevance Health","ELV","Elevance Health,ELV"
"Eli Lilly and Company","LLY","Eli Lilly and Company,LLY"
"Emerson Electric","EMR","Emerson Electric,EMR"
"Enphase","ENPH","Enphase,ENPH"
"Entergy","ETR","Entergy,ETR"
"EOG Resources","EOG","EOG Resources,EOG"
"EPAM Systems","EPAM","EPAM Systems,EPAM"
"EQT","EQT","EQT,EQT"
"Equifax","EFX","Equifax,EFX"
"Equinix","EQIX","Equinix,EQIX"
"Equity Residential","EQR","Equity Residential,EQR"
"Essex Property Trust","ESS","Essex Property Trust,ESS"
"The Estée Lauder Companies","EL","The Estée Lauder Companies,EL"
"Etsy","ETSY","Etsy,ETSY"
"Everest Re","RE","Everest Re,RE"
"Evergy","EVRG","Evergy,EVRG"
"Eversource","ES","Eversource,ES"
"Exelon","EXC","Exelon,EXC"
"Expedia Group","EXPE","Expedia Group,EXPE"
"Expeditors International","EXPD","Expeditors International,EXPD"
"Extra Space Storage","EXR","Extra Space Storage,EXR"
"ExxonMobil","XOM","ExxonMobil,XOM"
"F5, Inc.","FFIV","F5, Inc.,FFIV"
"FactSet","FDS","FactSet,FDS"
"Fastenal","FAST","Fastenal,FAST"
"Federal Realty","FRT","Federal Realty,FRT"
"FedEx","FDX","FedEx,FDX"
"Fifth Third Bank","FITB","Fifth Third Bank,FITB"
"First Republic Bank","FRC","First Republic Bank,FRC"
"First Solar","FSLR","First Solar,FSLR"
"FirstEnergy","FE","FirstEnergy,FE"
"FIS","FIS","FIS,FIS"
"Fiserv","FISV","Fiserv,FISV"
"Fleetcor","FLT","Fleetcor,FLT"
"FMC Corporation","FMC","FMC Corporation,FMC"
"Ford Motor Company","F","Ford Motor Company,F"
"Fortinet","FTNT","Fortinet,FTNT"
"Fortive","FTV","Fortive,FTV"
"Fox Corporation (Class A)","FOXA","Fox Corporation (Class A),FOXA"
"Fox Corporation (Class B)","FOX","Fox Corporation (Class B),FOX"
"Franklin Templeton","BEN","Franklin Templeton,BEN"
"Freeport-McMoRan","FCX","Freeport-McMoRan,FCX"
"Garmin","GRMN","Garmin,GRMN"
"Gartner","IT","Gartner,IT"
"Gen Digital Inc.","GEN","Gen Digital Inc.,GEN"
"Generac","GNRC","Generac,GNRC"
"General Dynamics","GD","General Dynamics,GD"
"General Electric","GE","General Electric,GE"
"General Mills","GIS","General Mills,GIS"
"General Motors","GM","General Motors,GM"
"Genuine Parts Company","GPC","Genuine Parts Company,GPC"
"Gilead Sciences","GILD","Gilead Sciences,GILD"
"Globe Life","GL","Globe Life,GL"
"Global Payments","GPN","Global Payments,GPN"
"Goldman Sachs","GS","Goldman Sachs,GS"
"Halliburton","HAL","Halliburton,HAL"
"Hartford (The)","HIG","Hartford (The),HIG"
"Hasbro","HAS","Hasbro,HAS"
"HCA Healthcare","HCA","HCA Healthcare,HCA"
"Healthpeak","PEAK","Healthpeak,PEAK"
"Henry Schein","HSIC","Henry Schein,HSIC"
"Hershey's","HSY","Hershey's,HSY"
"Hess Corporation","HES","Hess Corporation,HES"
"Hewlett Packard Enterprise","HPE","Hewlett Packard Enterprise,HPE"
"Hilton Worldwide","HLT","Hilton Worldwide,HLT"
"Hologic","HOLX","Hologic,HOLX"
"The Home Depot","HD","The Home Depot,HD"
"Honeywell","HON","Honeywell,HON"
"Hormel Foods","HRL","Hormel Foods,HRL"
"Host Hotels & Resorts","HST","Host Hotels & Resorts,HST"
"Howmet Aerospace","HWM","Howmet Aerospace,HWM"
"HP Inc.","HPQ","HP Inc.,HPQ"
"Humana","HUM","Humana,HUM"
"Huntington Bancshares","HBAN","Huntington Bancshares,HBAN"
"Huntington Ingalls Industries","HII","Huntington Ingalls Industries,HII"
"IBM","IBM","IBM,IBM"
"IDEX Corporation","IEX","IDEX Corporation,IEX"
"Idexx Laboratories","IDXX","Idexx Laboratories,IDXX"
"Illinois Tool Works","ITW","Illinois Tool Works,ITW"
"Illumina","ILMN","Illumina,ILMN"
"Incyte","INCY","Incyte,INCY"
"Ingersoll Rand","IR","Ingersoll Rand,IR"
"Intel","INTC","Intel,INTC"
"Intercontinental Exchange","ICE","Intercontinental Exchange,ICE"
"International Paper","IP","International Paper,IP"
"The Interpublic Group of Companies","IPG","The Interpublic Group of Companies,IPG"
"International Flavors & Fragrances","IFF","International Flavors & Fragrances,IFF"
"Intuit","INTU","Intuit,INTU"
"Intuitive Surgical","ISRG","Intuitive Surgical,ISRG"
"Invesco","IVZ","Invesco,IVZ"
"Invitation Homes","INVH","Invitation Homes,INVH"
"IQVIA","IQV","IQVIA,IQV"
"Iron Mountain","IRM","Iron Mountain,IRM"
"J.B. Hunt","JBHT","J.B. Hunt,JBHT"
"Jack Henry & Associates","JKHY","Jack Henry & Associates,JKHY"
"Jacobs Solutions","J","Jacobs Solutions,J"
"Johnson & Johnson","JNJ","Johnson & Johnson,JNJ"
"Johnson Controls","JCI","Johnson Controls,JCI"
"JPMorgan Chase","JPM","JPMorgan Chase,JPM"
"Juniper Networks","JNPR","Juniper Networks,JNPR"
"Kellogg's","K","Kellogg's,K"
"Keurig Dr Pepper","KDP","Keurig Dr Pepper,KDP"
"KeyCorp","KEY","KeyCorp,KEY"
"Keysight","KEYS","Keysight,KEYS"
"Kimberly-Clark","KMB","Kimberly-Clark,KMB"
"Kimco Realty","KIM","Kimco Realty,KIM"
"Kinder Morgan","KMI","Kinder Morgan,KMI"
"KLA Corporation","KLAC","KLA Corporation,KLAC"
"Kraft Heinz","KHC","Kraft Heinz,KHC"
"Kroger","KR","Kroger,KR"
"L3Harris","LHX","L3Harris,LHX"
"LabCorp","LH","LabCorp,LH"
"Lam Research","LRCX","Lam Research,LRCX"
"Lamb Weston","LW","Lamb Weston,LW"
"Las Vegas Sands","LVS","Las Vegas Sands,LVS"
"Leidos","LDOS","Leidos,LDOS"
"Lennar","LEN","Lennar,LEN"
"Lincoln Financial","LNC","Lincoln Financial,LNC"
"Linde plc","LIN","Linde plc,LIN"
"Live Nation Entertainment","LYV","Live Nation Entertainment,LYV"
"LKQ Corporation","LKQ","LKQ Corporation,LKQ"
"Lockheed Martin","LMT","Lockheed Martin,LMT"
"Loews Corporation","L","Loews Corporation,L"
"Lowe's","LOW","Lowe's,LOW"
"Lumen Technologies","LUMN","Lumen Technologies,LUMN"
"LyondellBasell","LYB","LyondellBasell,LYB"
"M&T Bank","MTB","M&T Bank,MTB"
"Marathon Oil","MRO","Marathon Oil,MRO"
"Marathon Petroleum","MPC","Marathon Petroleum,MPC"
"MarketAxess","MKTX","MarketAxess,MKTX"
"Marriott International","MAR","Marriott International,MAR"
"Marsh McLennan","MMC","Marsh McLennan,MMC"
"Martin Marietta Materials","MLM","Martin Marietta Materials,MLM"
"Masco","MAS","Masco,MAS"
"Mastercard","MA","Mastercard,MA"
"Match Group","MTCH","Match Group,MTCH"
"McCormick & Company","MKC","McCormick & Company,MKC"
"McDonald's","MCD","McDonald's,MCD"
"McKesson","MCK","McKesson,MCK"
"Medtronic","MDT","Medtronic,MDT"
"Merck & Co.","MRK","Merck & Co.,MRK"
"Meta Platforms","META","Meta Platforms,META"
"MetLife","MET","MetLife,MET"
"Mettler Toledo","MTD","Mettler Toledo,MTD"
"MGM Resorts","MGM","MGM Resorts,MGM"
"Microchip Technology","MCHP","Microchip Technology,MCHP"
"Micron Technology","MU","Micron Technology,MU"
"Microsoft","MSFT","Microsoft,MSFT"
"Mid-America Apartment Communities","MAA","Mid-America Apartment Communities,MAA"
"Moderna","MRNA","Moderna,MRNA"
"Mohawk Industries","MHK","Mohawk Industries,MHK"
"Molina Healthcare","MOH","Molina Healthcare,MOH"
